network,station_code,label,active,lon,lat,elevation,station_type
IMIS,STE2,Steingletscher,False,8.422448,46.730059,1900,SNOW_FLAT
IMIS,STH1,Stockhorn,True,7.538571,46.693863,2190,WIND
IMIS,STH2,Vorderstocken,True,7.519649,46.682049,1791,SNOW_FLAT
IMIS,STN2,Oberer Stelligletscher,True,7.750559,46.167811,2914,SNOW_FLAT
IMIS,SWM1,Schwarzmönch,True,7.927542,46.551367,2673,WIND
IMIS,SWM2,Dirlocherhorn,False,7.920184,46.520148,2260,SNOW_SLOPE
IMIS,TAM1,Wildseehorn,True,9.399750,46.967422,2689,WIND
IMIS,TAM2,Wildsee,True,9.390925,46.968364,2468,SNOW_FLAT
IMIS,TAM3,Schaftäli,True,9.458167,46.890984,2166,SNOW_FLAT
IMIS,TGL2,Teststation Trigl,False,10.352803,46.748852,2918,SNOW_FLAT
IMIS,TIT2,Titlisboden,True,8.409482,46.786009,2149,SNOW_FLAT
IMIS,TRU1,Schwarzhorn,True,7.570579,46.383447,3088,WIND
IMIS,TRU2,Trubelboden,True,7.585572,46.370951,2459,SNOW_FLAT
IMIS,TUJ1,Crispalt,True,8.694490,46.683729,3028,WIND
IMIS,TUJ2,Culmatsch,True,8.723751,46.683880,2262,SNOW_FLAT
IMIS,TUJ3,Nual,True,8.740223,46.647031,2211,SNOW_FLAT
IMIS,TUJ4,Maighels,False,8.684848,46.591646,2410,SNOW_FLAT
IMIS,TUM1,Piz Tumpiv,True,8.992269,46.784976,3041,WIND
IMIS,TUM2,Val Miez,True,9.021468,46.781066,2191,SNOW_FLAT
IMIS,URS1,Gross Schijen,True,8.638310,46.668131,2784,WIND
IMIS,URS2,Giltnasen,True,8.513859,46.586786,2169,SNOW_FLAT
IMIS,VAL1,Löita,True,8.610848,46.549258,2450,WIND
IMIS,VAL2,Vallascia,True,8.613790,46.549038,2268,SNOW_FLAT
IMIS,VDS1,Crêta Besse,True,7.352275,46.305191,2696,WIND
IMIS,VDS2,Donin du Jour,True,7.367505,46.321511,2385,SNOW_FLAT
IMIS,VIA2,Teststation Viano,True,10.167020,46.261690,2355,SNOW_FLAT
IMIS,VIN1,Piz Alpetta,True,10.449316,46.928788,2975,WIND
IMIS,VIN2,Alpetta,True,10.442846,46.931767,2729,SNOW_FLAT
IMIS,VLS1,Piz Aul,True,9.125067,46.622800,3121,WIND
